school_name,admissionspriority34,common_audition7,bus,grade9swdfilledflag5,requirement2_4,borough,program5,requirement4_6,grade9gefilledflag1,website,offer_rate1_7,requirement4_1,grade9swdapplicantsperseat6,admissionspriority35,code8,grade9swdapplicants7,admissionspriority17,diplomaendorsements,common_audition8,interest1,offer_rate1_4,eligibility5,requirement2_9,code2,requirement4_7,boys,seats105,requirement5_7,grade9swdapplicants8,specialized,offer_rate2_3,school_sports,offer_rate2_5,auditioninformation1,seats106,admissionspriority19,grade9swdfilledflag3,seats9swd2,grade9geapplicantsperseat7,requirement4_2,shared_space,requirement7_2,requirement3_9,academicopportunities5,code10,grade9gefilledflag8,program4,pbat,grade9geapplicantsperseat4,requirement1_5,admissionspriority32,subway,interest6,seats9swd6,interest10,prgdesc8,program1,grade9gefilledflag2,grade9geapplicantsperseat10,eligibility2,requirement8_5,requirement6_3,admissionspriority210,seats9ge8,borocode,building_code,grade9geapplicantsperseat2,grade9swdapplicants2,pct_stu_safe,admissionspriority38,eligibility9,prgdesc3,admissionspriority29,prgdesc1,program10,admissionspriority26,requirement6_9,advancedplacement_courses
"Archimedes Academy for Math, Science and Technology Applications",,,"Bx22, Bx27, Bx36, Bx39, Bx5",,,BRONX,,,N,www.archimedesacademy.org,,Course Grades: Science,,,,,,,,Science & Math,,,,,,,,,,,,We continue to develop a girls fencing team and our Track athletes also participate in Road Runners and Mighty Milers,,,,,,,,,Yes,,,Integrated use of technology throughout all disciplines,,,,,,,,,,,,,"Archimedes Academy for Math, Science and Technology",,,,,,,,X,X174,,,0.77,,,,,"Student science sequence for on track/honors students 9-12 begins with Physics 9, Chemistry 10, followed by College Biology in grade 11 and College Forensic Science in Grade 12. Math Sequence Alg I CC, Alg II CC, Geometry, College Statistics & Probability. There is the potential to earn up to a year or more of College Credit through the SUPA program which has over a 92% acceptance rate at colleges and Universities across the country.",,,,
Tottenville High School,,,"S55, S56, S59, S78, X17, X17J, X19",N/A - new program,,STATEN IS,Automotive Academy,,N/A - new program,www.tottenvillehs.com,,,N/A - new program,,R30H,N/A - new program,,,,Science & Math,,,Punctuality,R30B,,,No,,N/A - new program,,,"Cheerleading, Dance",,,No,Priority to Staten Island students or residents,N,12.0,N/A - new program,"Standardized Test Scores: English Language Arts, Math",Yes,,Course Grades: Average (94-100),"CTE program(s): Academy of Finance, Advertising, Automotive Technology, Computer Science, Culinary Arts, Dental Laboratory Technology/Technician, Dental Office Careers, Law Academy/Legal Studies, Medical Lab and Allied Health Pro",R30Z,N/A - new program,Law Academy,,,,Then to New York City residents,SIR to Huguenot,Culinary Arts,N/A - new program,Zoned,,STEAM Academy,N,N/A - zoned program,,,Zoned,Then to New York City residents,N/A - new program,R,R455,2.0,35.0,0.79,,,"This four-year program is designed to challenge those students who are not only strong in the humanities and language areas, but also interested in pursuing careers in these or related professions. This is a four-year rigorous program, that requires a serious commitment adhering to the guidelines of the four-year curriculum. In addition to fulfilling all high school requirements, students in this program are required to study languages other than English, including Latin and Spanish or Italian.",Then to New York City residents,,Zoned,,Zoned,"AP 2-D Art and Design, AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science A, AP Computer Science Principles, AP Drawing, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Italian Language and Culture, AP Latin, AP Music Theory, AP Physics 1, AP Psychology, AP Spanish Language and Culture, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
Frank McCourt High School,,,"BxM2, M10, M104, M11, M5, M7, M79-SBS, M86-SBS",,,MANHATTAN,,,Y,fmhsnyc.org,,Online Written Task,,,,,,,,Project-Based Learning,,,,,,,,,,,,Intramural Sports,,,,,,,,,Yes,,,,,,,,,,,"1 to 86th St; B, C to 81st St-Museum of Natural History",,,,,Frank McCourt High School,,,,,,,,M,M470,,,0.86,,,,,Our school is a member of the Mastery Collaborative and committed to using cooperative groups to teach students skills and content. We focus on developing college and career readiness skills.,,,,
Herbert H. Lehman High School,,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,,BRONX,Herbert H. Lehman High School D75 Inclusion Program,,N,https://herbert-lehman-high-school.echalksites.com/,,,,,,,,,,Computer Science & Technology,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,X16B,,,,,,,,"Football, Baseball, Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Wrestling, Cricket, Rugby, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball and Cheerleading",,,,,N/A - zoned program,18.0,,,Yes,,,"Audio Engineering, Recording Studio",,,Herbert H. Lehman High School ACES 12:1:1 Program,,,,,6 to Westchester Square-East Tremont Ave,,,,,Computer Science/Information Technology Program,Y,,Open only to Bronx students or residents,,,,,X,X405,7.0,82.0,0.73,,,"Lehman High School offers an array of computer science (e.g. coding) and digital media courses (e.g. digital photography, film production/editing), as well as, AP and SUNY courses.",,"Explore the world of Computer Science/Information Technology taught by instructors with real-world experience. Students can earn industry certifications in A+, Networking, Security, Adobe Photoshop and Adobe Premiere. Courses include Python, AP Computer Science Principles, computer repair, networking, Cisco, film production, digital photography, web development, audio engineering and digital music.",,,,"AP Biology, AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Human Geography, AP Microeconomics, AP Psychology, AP Spanish Language and Culture, AP Statistics"
DeWitt Clinton High School,,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx3, Bx30, Bx38, BxM3, BxM4",N,Course Grades: Average,BRONX,Clinton School of Performing Art and Design,,N,dwchs.net,,,,,,,,,,Science & Math,94% of offers went to this group,,,X10H,,,Yes,,,,,"Cheerleading, Dance, Soccer, Swimming",,,,,N,14.0,,,Yes,,,DWC provides Pre- College Scholarships for summer programs at Ivy League Colleges; Program Lehman College Now Partnership; Air Force Junior Reserve Officers' Training Corps (AFJROTC) Google Classroom & Laptops for all,,,Clinton School of Engineering & Computer Science,,5.0,Attendance,,"4 to Mosholu Parkway; B, D to Bedford Park Blvd",,,,,Clinton School of Health Professions,N,,,,,,,X,X440,1.0,12.0,0.61,,,"This early college program offers honors-level core subjects, Advanced Placement classes, Syracuse University courses, Lehman College Now, and PLTW courses in Biomedical Science, Engineering, and Computer Science. Students maintain an 85% avg; scholarships are offered to participate pre-college programs at Ivy League Colleges. Free SAT Prep provided. Students take elective courses in Instrumental, Dance, Visual Arts & Graphic Design, Vocal, Culinary, and other vocational programs.",,"This program offers a four year PLTW course sequence and is part of the AP + PLTW biomedical science pathway. Using same tools found in hospitals and labs, students work in teams and engage in hands-on activities. Courses offered: Principles of Biomedical Science, Human Body Systems, Medical Interventions, Biomedical Innovations. Students may graduate with EMT Certification sponsored by Montefiore Hospital which can earn up $60K. Electives: Environmental Sustainability and Culinary arts.",,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
Bronx Latin,,,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6, Bx6-SBS",,,BRONX,,,Y,bronxlatin.com,,,,,,,,Math,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Our college focus includes our CBI partnership, multiple college visits in all grades, and A-List SAT preparatory classes.",,,,,,,,"2, 5 to Intervale Ave",,,,,Bronx Latin,,,,,,,,X,X158,,,0.89,,,,,"We are a college preparatory high school that believes a student's best preparation for college is a rigorous high school curriculum with four years of rich math and science instruction. Students are programmed with the expectation of obtaining an Advanced Regents diploma, and are encouraged to take AP courses. All students prepare for SATs through a rigorous self-study program with the goal of 100% of the student body attending four-year colleges after graduation.",,,,"AP Biology, AP Calculus AB, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP Statistics, AP U.S. Government and Politics, AP United States History"
Orchard Collegiate Academy,,,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",,,MANHATTAN,,,N,www.orchardcollegiateacademy.org,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Soccer",,,,,,,,,Yes,,,NYU partnership (student panel discussions); Partnership with NYC Center for Space Science Education; partnership with Abrons Art Center,,,,,,,,"F to East Broadway; J, M, Z to Delancey St-Essex St",,,,,Orchard Collegiate Academy,,,,,,,,M,M056,,,0.93,,,,,,,,,"AP Biology, AP English Literature and Composition, AP United States History"
Hillcrest High School,,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q40, Q41, Q43, Q44-SBS, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q9, X68",N,Punctuality,QUEENS,Theater Arts,,Y,Hillcrestweb.com,,,11,,Q24Z,104,Open to New York City residents,"Arts, CTE, Science",,Health Professions,,,,Q24B,,,Yes,,N/A - zoned program,,,,,,Yes,,Y,9.0,8,,,,,"CUNY College Now Program includes English, Computer Application, Criminal Justice, Psychology, Science & Technology, Speech Communication, and others",,N/A - zoned program,Pre-Med Program,,9.0,Attendance,,F to Parsons Blvd,Law & Government,10,,,Health Sciences Institute,N,,,,,,N/A - zoned program,Q,Q505,5.0,52.0,0.77,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov","An Honors College Preparatory Program offering scholars four-year tracks in Media, Art, or Music. Media provides writing and publishing courses in Journalism, Model UN, Film, and Creative Writing with options for AP and CUNY College Now English. Art includes Painting, Drawing, Sculpture, Design, Photoshop, and Printmaking with options for AP Studio Art and AP Art History. Musicians perform and compose with multiple opportunities in Band, Chorus, Drum Line, and String Ensemble.",,"NYS CTE Certified Nursing Assistant program that includes supervised clinical rotations with training from registered nurses and a developing Sports Medicine program with courses such as Exercise Physiology, Human Anatomy, and Nutrition. Students participate in the Health Professions Club and receive paid and unpaid internships in the health field and volunteer experience.",,,,"AP Biology, AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP French Language and Culture, AP Spanish Language and Culture, AP United States History, AP World History: Modern"
Cambria Heights Academy,,,"Q1, Q110, Q17, Q2, Q3, Q36, Q43, Q76, Q77, Q83, X64, X68",,,QUEENS,,,Y,nycacademy.org,,,,,,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,,,,,,,,,CTE program(s): Software Engineering Pilot,,,,,,,,,,,,,Cambria Heights Academy,,,,,,,,Q,Q799,,,0.8,,,,,All students are admitted into our software engineering program and after completing the necessary coursework have the option of graduating with a CTE diploma in addition to a high school diploma.,,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
47 The American Sign Language and English Secondary School,,,"BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23-SBS, M3, M34-SBS, M34A-SBS, M55, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,MANHATTAN,,,Y,47aslhs.net,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Community-Based Internships, Mindfulness Practices",,,,,,,,"6 to 23rd St; L to 3rd Ave; R, W to 23rd St",,,,,American Sign Language Studies Program,,,,,,,,M,M047,,,0.91,,,,,"Students partake in a four-year ASL program graduating with a proficiency in American Sign Language. Graduates can expect to obtain the knowledge and skills necessary to work with the Deaf and Hard of Hearing communities. In addition to learning American Sign Language, students are exposed to the culture and social perspective of the Deaf and Hard of Hearing communities.",,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Human Geography"
