property_name,ambulatory_surgical_center,estimated_data_flag_fuel_2,hospital_general_medical_13,financial_office_number_of_1,mailing_center_post_office,leed_us_project_id,fuel_oil_4_use_kbtu,property_use_detail_alerts,other_water_sources_combined_1,data_center_pdu_input_site,data_center_it_energy,data_center_it_equipment,hospital_general_medical_3,property_floor_area_building,laboratory_gross_floor_area,energy_star_certification_3,primary_property_type_epa,national_median_energy_star,convenience_store_without,council_district,medical_office_percent_that,zoo_gross_floor_area_ft,movie_theater_gross_floor,office_percent_that_can_be_1,strip_mall_gross_floor_area,estimated_data_flag_natural,water_wastewater_investment,percent_better_than_national_2,restaurant_gross_floor_area,retail_store_percent_that,weather_normalized_site_energy,retail_store_computer_density,electricity_grid_purchase,indirect_ghg_emissions_metric,source_energy_use_kbtu,residence_hall_dormitory,retail_store_cash_register,multifamily_housing_number_1,parent_property_id,multifamily_housing_resident,hospital_general_medical_5,performing_arts_gross_floor,retail_store_worker_density,veterinary_office_gross_floor,site_energy_use_kbtu,water_wastewater_estimated,wholesale_club_supercenter,hotel_gross_floor_area_ft,electricity_use_generated_1,food_sales_gross_floor_area,hospital_general_medical_17,medical_office_number_of
8700 25 AVE PLP,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,120860,Not Available,No,Multifamily Housing,50,Not Available,47.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8944867.4,Not Available,0,162.5,13493818.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,8875027.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
660,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110706,Not Available,No,Medical Office,50,Not Available,4.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22458942,Not Available,0,1864.1,61232958.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,22485041.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6
50 West 57th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,75077,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,100,7571398.5,0.76301,0,464.4,17203900.1,Not Available,0.53411,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,4.57806,Not Available,7623326.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
270 Nostrand Avenue (Cabs Nursing Home),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>ConEdison Electric</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,72820,Not Available,No,Senior Care Community,50,Not Available,36.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
866 UN Plaza,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,376326,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37011496.6,Not Available,399421.3482,3155.5,76764796.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,36989913.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Atco-40 Central Park South,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,207773,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,16910,Not Available,32122660.5,Not Available,0,614.8,48847785.4,Not Available,Not Available,170,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,32270464.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TRIBECA POINTE LLC,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,357975,Not Available,No,Multifamily Housing,50,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,733,49562709.8,Not Available,Not Available,340,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,29446710.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
595 Madison Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,303618,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25620459.3,Not Available,587367.5603,2187.3,62532077.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,26012026.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
598 Realty Assoc- 598 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,78616,Not Available,Yes,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,500,100,Not Available,0.45094,177986.2444,312.8,12707513.8,Not Available,0.7215,5,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,2.70563,Not Available,4464560.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
600 Fifth Avenue (Bld 17),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,396109,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,100,53165691.5,0.02865,0,4171.3,111864867.1,Not Available,0.07163,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,0.21489,Not Available,53229065.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
P & R Heights,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,84800,Not Available,No,Multifamily Housing,50,Not Available,10.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,137255.2,Not Available,8318.4314,11.2,430981.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,137255.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9 Prospect Park W,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",0,Not Available,Not Available,Not Available,Not Available,120000,Not Available,No,Multifamily Housing,50,Not Available,39.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,106.3,12827220,Not Available,Not Available,4,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,9616120.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
116 E 63 St.,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,87968,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,124.2,9721841.4,Not Available,Not Available,32,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,6220948.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40 East 66th Street Condominium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,111166,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,8315592,0.15853,0,704.4,18229821.1,Not Available,0.63412,33,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,0.63412,Not Available,8342935.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
212 East 57th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,78424,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,5399966.9,0.18815,0,443.8,10971498.8,Not Available,0.37629,38,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,0.94073,Not Available,5394921,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9 NIXON COURT PLPM,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,97430,Not Available,No,Multifamily Housing,50,Not Available,47.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3676611.6,Not Available,0,13.8,4244301,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3705375.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12 W 72 St.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,178893,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8772580.1,Not Available,0,334,17812534.9,Not Available,Not Available,155,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,8793610.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Plastic Center,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,798624,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,130000,Not Available,No,Other,50,Not Available,26.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,200981.724,190.5,8312449.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3287350.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
255 MILL RD HLS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,122204,Not Available,No,Multifamily Housing,50,Not Available,50.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7225411.7,Not Available,0,167.1,11823825.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,7172514.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
335 W 16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,More than 25% of this property is used for purposes (other than parking or swimming pool) that cannot earn a 1-100 score. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The meter <b>436013118900031</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,68329,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,331.3,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ft Washington Garage,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,527604,Not Available,No,Parking,50,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2422907.9,Not Available,0,198.9,7678126.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2445263.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
90 Park,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,888431,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,109577126.6,Not Available,1531451.299,9286.1,244793372.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,109993799.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
757 Third Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>data Center -- IT Energy Apply Estimates</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,499919,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,100,39462596.5,0.35892,92592.65075,3365,93023811.6,Not Available,0.59819,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1.19639,Not Available,39890421.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Winter- 115 Fifth Ave,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,285120,Not Available,No,Office,50,Not Available,2.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,12310,100,35201122.3,0.85668,581700.2573,1682.9,80383676.4,Not Available,0.22108,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1.40938,Not Available,35616068.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
240 Riverside Blvd,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,447049,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,36315566.8,Not Available,738852.0136,1133.7,67338041.4,Not Available,Not Available,170,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,36396355,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Columbia Prep - 20 West 94th,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; The meter <b>GAS</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,Not Available,Not Available,Not Available,Not Available,Not Available,5220,Not Available,No,K-12 School,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3615566,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
149 MADISON AVENUE,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122750,Not Available,No,Office,50,Not Available,2.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,10944408.7,Not Available,0,443.8,22835016.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,11104119.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GC 37 W 57th,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79474,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5403066.7,Not Available,252655.7188,453.5,14340298.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,5448132.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
