code1,method1,academicopportunities1,program4,grade9geapplicantsperseat1,end_time,grade9geapplicantsperseat8,bus,seats9ge3,requirement3_6,directions5,admissionspriority51,neighborhood,program10,applicants4specialized,interest2,admissionspriority64,seats9swd7,grade9geapplicants5,eligibility2,grade9geapplicants6,admissionspriority63,seats9swd2,requirement4_4,admissionspriority14,international,interest9,common_audition4,prgdesc3,admissionspriority37,requirement6_3,building_code,program8,code6,grade9swdapplicantsperseat1,requirement5_5,requirement4_7,seats9swd3,seats1specialized,requirement3_1,program6,requirement1_8,grade9swdapplicants7,requirement5_4,prgdesc2,subway,ell_programs,grade9geapplicantsperseat2,requirement1_5,interest6,common_audition7,grade9geapplicants1,program7,requirement2_4,admissionspriority33,grade9gefilledflag10,prgdesc7,grade9swdapplicantsperseat6,primary_address_line_1,grade9geapplicants9,method6,grade9swdfilledflag2,overview_paragraph,program3,seats9ge1,school_email,academicopportunities3,grade9gefilledflag3
A21A,Screened,Annual digital portfolio development and presentation,,17.0,3:36pm,,"BxM2, M10, M104, M11, M5, M7, M79, M86-SBS",,,,,Upper West Side,,,,,,,,,,,,,,,,,,,M470,,,10.0,,,,,Attendance,,,,,,"1, B, C to 86th St ; 2, 3 to 96th St",English as a New Language,,,,,1499.0,,,,,,,145 West 84th Street,,,,"At Frank McCourt High School (FMHS), we prepare our students to be articulate and effective communicators in every medium. In particular, we will develop studentsÂ’ communication skills through their writing, presentations, classroom discussions, and peer dialogue. In developing these skills, students will also sharpen their critical and analytical thinking. Every student will graduate from FMHS armed with the curiosity and intellect of a true lifelong learner. We are committed to helping our students become engaged citizens and thoughtful civic leaders who can communicate their vision with clarity and eloquence.",,90.0,info@fmhsnyc.org,Mini term twice a year for 11th and 12th grade academic electives (Intersession),
Q56A,Screened,"CollegeBound Initiative, Small interdisciplinary learning environment, Technology infused courses",,6.0,3pm,,"M60-SBS, Q100, Q102, Q103, Q18, Q19, Q69",,,,,Old Astoria,,,,,,,,,,,,,,,,,,,Q739,,,3.0,,,,,"Standardized Test Scores: English Language Arts (2.2-4.5), Math (2.1-4.5)",,,,,,"N, Q to 30 Ave-Grand Ave",English as a New Language,,,,,403.0,,,,,,,23-15 Newtown Avenue,,,,"The Young WomenÂ’s Leadership Schools nurture the intellectual curiosity and creativity of young women to maximize academic achievement, social-emotional health, and postsecondary success. Our school replicates the best practices of private and independent girlsÂ’ schools and approaches learning in a dynamic, participatory fashion with students taking responsibility for their own learning. Our school instills in students a sense of self-efficacy and community responsibility to support them as they become the leaders of the next generation. The school uses technology in nearly every class create a 21st century learning environment. Young women are provided with rigorous STEM, humanities, and arts opportunities.",,69.0,30Q286@schools.nyc.gov,"Advisory classes focus on female adolescent development, positive self-image, and early college awareness",
X14J,Screened,"College Classes at Hostos Community College, Liberty Partnership, After-School and Weekend Tutorials",,18.0,2:30pm,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",,,,,Melrose S.-Mott Haven N.,,,,,,,,,,,,,,,,,,,X162,,,11.0,,,,,Attendance,,,,,,"2, 5 to Jackson Ave ; 6 to East 149th St",English as a New Language,,,,,1183.0,,,,,,,600 Saint Ann'S Avenue,,,,We are an early college secondary school whose students attend college courses on the campus of Hostos Community College. Our school is a collaboration between the Department of Education and the City University of New York. Our students are expected to graduate with a Regents diploma granted by the Department of Education and an Associate Degree from Hostos Community College.,,65.0,,,
X34A,Limited Unscreened,"CTE program(s) in: Business, Management & Administration",,5.0,2:38pm,,"Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4",,,,,Van Cortlandt Village,,,,,,,,,,,,,,,,,,,X430,,,4.0,,,,,,,,,,,"4, B, D to Kingsbridge Rd",English as a New Language,,,,,400.0,,,,,,,2780 Reservoir Avenue,,,,"Our school focuses on preparing students for careers in teaching and the computer industry as they are building a foundation to further their education in college, a post-secondary technical school, and/or careers. Our community school model provides students and families with a hub for academic and emotional support. Students enrolled in our school will have the opportunity to obtain certifications in specific fields.",,86.0,nrodriguez@hsforteaching.org,Summer School for current students,
Y64A,Screened: Language,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,5.0,3:19pm,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,,,,E. Concourse-Concourse Village,,,,,,,,,,,,,1.0,,,,,,X410,,,3.0,,,,,,,,,,,"4, B, D to 170th St",English as a New Language,,,,,344.0,,,,,,,240 East 172nd Street,,,,"The mission of Claremont International High School is to build upon the diverse linguistic and cultural backgrounds of English Language Learners (ELLs) in New York City to create an academically stimulating and nurturing learning community that prepares students for success in college and beyond. Our students cultivate intellectual curiosity, advance critical thinking skills, and develop empathy as global citizens through the integration of language and the arts in all classes. Students complete an internship during their junior year and have the opportunity to participate in CUNY College Now courses.",,65.0,Edemchak@schools.nyc.gov,"Advisory, Service Learning, CUNY College Now Courses",
K04X,Unscreened,"Downstate Medical Program, Urban Advantage, Participation in Government, Introduction to Law, Science",,4.0,3pm,,"B12, B17, B43, B44, B44-SBS",,,,,Prospect Lefferts Gardens,,,,,,,,,,,,,,,,,,,K470,,,4.0,,,,,,,,,,,"2, 5 to Winthrop St",English as a New Language,,,,,293.0,,,,,,,600 Kingston Avenue,,,,"The mission of The School for Human Rights is to develop the academic and social capacity of all students, regardless of identity and ability. A sixth through twelfth grade school, The School for Human Rights offers an integrated academic and social skills-based curriculum, challenging its students to become critically thinking, compassionate, and socially engaged young adults committed to the practice of equity, dignity, and social consciousness.",,68.0,malexan@schools.nyc.gov,,
Q58A,Limited Unscreened,"CTE program(s) in: Business, Management & Administration",,7.0,3:30pm,,"Q1, Q27, Q43, Q46, Q88, QM6, X68",,,,,Bellerose,,,,,,,,,,,,,,,,,,,Q435,,,6.0,,,,,,,,,,,,English as a New Language,,,,,623.0,,,,,,,230-17 Hillside Avenue,,,,"Students attending Business Technology Early College High School (B-TECH) use technology to solve everyday problems. Our students become expert readers, writers, and critical thinkers with the technical skills to be successful in our modern, information-based global economy. Students have up to six years to earn a high school diploma and an Associate degree Â– free of cost Â– from Queensborough Community College. Students also receive hands-on job training and apprenticeship with SAP (an international enterprise software development company). Upon graduation, our students have the knowledge, skills, CTE certifications, and work experience to make them highly competitive for employment and/or four-year colleges.",,92.0,info@btechnyc.org,"Associate degree: two years of college course work in business, computer science, and Internet technology",
X38A,Limited Unscreened,"Theater Arts Courses: Performance, Set Design, Costume Design, Theater Business, Chorus, and Playwriting",,7.0,3:45pm,,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100",,,,,Spuyten Duyvil-Kingsbridge,,,Performing Arts,,,,,,,12.0,,,,,,,,,X475,,,8.0,,,,,,,,,,"Acting, stage movement, dance, improvisation, stage and production management, theatre administration",1 to Marble Hill - 225th St,English as a New Language,7.0,,,,284.0,,,,,,,99 Terrace View Avenue,,,N,"We offer students the opportunity to earn a Regents diploma with an arts endorsement by adopting the model of a theatre company. Our students stage plays, musicals, and their own original works to explore the universal themes of the human experience and acquire skills and knowledge to meet the Learning Standards outlined by the NY State Board of Regents. We utilize project-based learning and engage students as artists-at-work. Our program provides the college and career readiness skills for students to succeed in a post-secondary setting. Teaching artists work with teachers to create an ensemble for students to work together, learn together, and become strong contributors to society.",,38.0,Wdoyle@schools.nyc.gov,"Advisory, Academic support in PM School and Tutoring, Regents Prep, College Prep, SAT Prep, Career Development Internships",
X99X,Limited Unscreened,Software Engineering Pilot,,14.0,3:30pm,,"Bx15, Bx17, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",,,,Then to New York City residents,Claremont-Bathgate,,,,,,,,,,,,,,,,,,,X465,,,19.0,,,,,,,,,,,,English as a New Language,,,,,707.0,,,,,,,4143 Third Avenue,,,,"The mission of The Eagle Academy for Young Men is to develop young men committed to the pursuit of academic excellence, strong character, and responsible leadership. We are focused and committed to the schoolÂ’s guiding principles of: Academic Excellence, Mentoring, Leadership, Integrity, Character Development and Community Service. The Eagle Academy prepares its students to join the ranks of future leaders in society. Professionals from a wide array of careers act as mentors to provide scholarship and internship opportunities; they are successful male role models who partner with students in their development inside and outside of the classroom environment.",,52.0,admissions@eaglebronx.org,Mentoring in Medicine,
X35A,Limited Unscreened,CTE program(s) in: Manufacturing Production,,14.0,2:45pm,,"Bx12, Bx12-SBS, Bx21, Bx22, Bx39, BxM10, BxM11",,,,,Pelham Parkway,,,Visual Art & Design,,,,,,,11.0,,,,,,,,,X839,,,14.0,,,,,,,,,,"A program of study focused on learning the elements, principles and process of design and developing digital media and business skills. Students participate in internships and are prepared for advanced study and work in the field of graphic design.","2, 5 to Bronx Park East",English as a New Language,7.0,,,,606.0,,,,,,,2040 Antin Pl,,,Y,"We offer a challenging, sequential, four-year pre-professional art program and an interdisciplinary academic curriculum within a close-knit school community. We offer two visual arts programs: one focuses on developing general knowledge, while the other prepares students to become professional graphic designers. Both programs emphasize skill-building, student creativity, interests, and community contributions. Our cultural partners provide learning experiences and additional resources for students and their families. Our small class size and project-based, student-centered curriculum provide individualized attention and prepare students for college and careers in the arts.",,43.0,GJones7@schools.nyc.gov,"Career Visions Institute, Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP)",
M91A,Ed. Opt.,Academic Portfolio Required,,6.0,3:20pm,,"M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28",,,,,Chelsea-Union Sq,,,,,,,,,,,,,,,,,,,M440,,,8.0,,,,,,,,,,,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave",English as a New Language,,,,,471.0,,,,,,,351 West 18th Street,,,,"We are a small high school that offers a challenging academic curriculum with a strong emphasis on writing, research, and project-based inquiry learning across subjects. Students are expected to be highly motivated, active learners with strong communication and research skills. Students and teachers work together to create a learning community that fosters critical thinking and analytical skills in preparation for college and beyond. Students present and defend six portfolios before a committee in order to graduate. Our Advisory ensures that all students have strong relationships with adults that support a positive learning culture.",,83.0,,"Partnerships with Baruch College, New York University (NYU), and John Jay College",
M0 4A,Limited Unscreened,"A full performing arts conservatory education with college preparatory course work in English, Social Studies, Math, Science",,5.0,3:15pm,,"Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS",,,,,Manhattanville,,,,,,,,,,,,,,,,,,,M043,,,6.0,,,,,,,,,,,"1, A, B, C, D to 125th St",English as a New Language,,,,,460.0,,,,,,,509 West 129th Street,,,,"We engage students in a college-preparatory curriculum that includes performing arts in all aspects of the academic experience. By using the arts as a teaching tool and allowing students to express themselves, our school breathes creativity into all subjects and builds confidence in all students. Students do not audition to enter our school. Students who may not have had access to artistic study come to our school from all five boroughs. We partner with the Tony Bennett Foundation/Exploring the Arts, the Martha Graham Dance Company, EPIC Theatre Ensemble, and The Collegiate Chorale.",,90.0,mmcmahon3@schools.nyc.gov,"At the end of their four years of study, students take the Arts Exit Exam allowing them to earn an Arts Endorsed Diploma.",
M53A,Ed. Opt.,iLearnNYC: Program for expanded online coursework and self-paced learning,,13.0,2:56pm,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,,,,Chinatown,,,,,,,,,,,,,,,,,,,M445,,,15.0,,,,,,,,,,,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",English as a New Language,,,,,1341.0,,,,,,,350 Grand Street,,,,New Design High School (NDHS) seeks to empower students to design their lives. We set out in 2003 to develop an innovative school focused on design education as well as positive relationships that maximize the holistic growth of students.,,104.0,info@newdesignhigh.com,"Urban Arts Partnership: media and communications, graphic design, sound design, film & motion graphics",
