dbn,phone_number,admissionspriority12,requirement4_8,grade9swdapplicantsperseat9,interest7,admissionspriority22,prgdesc3,code5,seats9ge10,prgdesc1,auditioninformation6,admissionspriority38,school_accessibility_description,requirement5_5,requirement3_1,seats9swd9,method6,interest2,method8,requirement6_3,requirement7_1,seats107,seats3specialized,prgdesc5,academicopportunities5,applicants5specialized,language_classes,requirement6_1,transfer,admissionspriority33,requirement6_10,admissionspriority29,diplomaendorsements,method7,requirement2_2,prgdesc7,bus,requirement6_5,grade9gefilledflag4,code3,appperseat4specialized,appperseat6specialized,seats9ge1,advancedplacement_courses,requirement4_9,auditioninformation7,ptech,seats6specialized,program1,grade9geapplicantsperseat2,prgdesc2,college_career_rate,overview_paragraph,pbat,offer_rate1
23K514,718-485-3789,,,,,,,,,"Intensive academic program focused on English language arts, communications, mathematics, journalism, public speaking, dance, and art. College preparatory advisory in grade 10.",,,2.0,,,,,,,,,,,,"PENCIL Business School Partnership, Digital Ready, Girls ROCK, Summer Scholars, FDA VII HS/Grace Church Regents Prep and Life Skills",,Spanish,,,,,,,,,,"B12, B14, B15, B60, B7",,,,,,89.0,"AP English Language and Composition, AP English Literature and Composition",,,,,Frederick Douglass Academy VII High School,,,0.37,"Founded in 2004 and inspired by the life of Frederick Douglass, Frederick Douglass Academy VII (FDA VII) is located in the Brownsville area and built on Dr. Lorraine Monroe's vision of academic and personal excellence for all students. The school mission involves the creation of a collaborative work environment which nurtures intellectual diversity, prepares scholars to attend an institution of higher learning, and to become active citizens in their larger communities. FDA VII is accredited by the New York State Board of Regents and chartered by the National Honor Society.",,-96% of offers went to this group
11X542,718-944-3601,,,,,,,,,,,,2.0,,,,,,,,,,,,"Students take four years of science, mathematics, and a foreign language",,Spanish,,,,,,,,,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",,,,,,93.0,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Pelham Preparatory Academy,,,0.68,"High School With A College View celebrating 15 years of academic excellence. High expectations for achievement, positive self-esteem, and strong values enable our students to progress towards adulthood and effective community participation. Our school is committed to a challenging academic program. Our classes are small and the teachers and staff work closely with students and families. Our partner, the University of Vermont, begins working with 9th graders and the relationship continues through graduation.",,-100% of offers went to this group
20K609,718-438-3893,,,,,,,,,"Students will be taught to think critically cased on our Critical Thinking Framework which includes close reading of rich texts, discussion, and argumentative writing. This framework is used across the disciplines and prepares our students for college and career.",,,2.0,,,,,Humanities & Interdisciplinary,,,,,,,We offer various mentoring programs with professionals in different fields.,,Spanish,,,,,,,,,,"B11, B16, B35, B67, B69, B8",,,,,,67.0,"AP Calculus AB, AP English Literature and Composition, AP Environmental Science, AP U.S. History",,,,,The Urban Assembly School for Criminal Justice for New Students,N/A - continuing program,Guaranteed offer to continuing 8th grade students,0.81,"The Urban Assembly School for Criminal Justice (UASCJ) is an all-girls school that prepares students for college and the world of work, teaching them the content and skills necessary for future success. We help develop the work habits and study skills that promote academic achievement. Students are also encouraged to participate in the many after-school and extracurricular activities we offer as they are integral to future educational and work success. As an all-girls school, our students are part of a tight-knit, diverse community and they benefit greatly from our small size and unique personal attention.",,-88% of offers went to this group
24Q560,718-472-5671,,,,,,,,,"Opportunities in the arts, career education, athletics, college classes, trips, and conferences.",,,2.0,,,,,Humanities & Interdisciplinary,,,,,,,"CUNY College Now; Early College opportunities; College Bound Initiative (CBI), monthly town hall meetings",,Spanish,,,,,,,,,,"B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67, Q69",,,,,,87.0,"AP Calculus AB, AP English Literature and Composition, AP Environmental Science, AP Spanish, AP U.S. History, AP World History",,,,,Arts and Technology for New Students,N/A - continuing program,Guaranteed offer to continuing 8th grade students,0.82,"Our school is known for being academic, artistic, and athletic while providing a warm and welcoming community. Our teachers meet weekly in either grade teams or departments to create rich and meaningful experiences for students. All students have a CORE teacher responsible for monitoring their academic and social/emotional progress. We have a partnership with College Bound Initiatives (CBI) which provides our students and families with a full-time college counselor. Come to a place where people know you well and are dedicated to supporting your future goals. Many of our staff members have been here for more than 10 years and our graduates often come back and visit. Be a part of the Wagner family!",,-100% of offers went to this group
07X473,718-402-0571,,,,,,,,,A challenging college readiness program that prepares students for varied career choices.,,,,,,,,,,,,,,,"Day and overnight college trips, wireless computer network, cooperative learning groups",,"French, Spanish",,,,,,,,,,"Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6, Bx6-SBS",,,,,,64.0,"AP English Literature and Composition, AP U.S. History",,,,,Mott Haven Village Preparatory High School,,,0.48,"Mott Haven Village Prep provides students with opportunities for higher education and a bright future. Our caring school environment gives students immediate and appropriate attention that supports personal progress and advances academic achievement. A challenging academic curriculum inspires students to rise above expected goals and reach for excellence. A committed and energetic staff supports this embrace of distinction. Special programs in college readiness, student-centered thematic units, and internships build a solid foundation for future endeavors.",,-100% of offers went to this group
22K555,718-853-6184,,,,,,,,,"Brooklyn College Academy High School is an Early College School that provides a challenging high school curriculum in addition to a rigorous college program at Brooklyn College. Brooklyn College Academy students receive a substantial head start when applying to college, by graduating with a minimum of 12 to 50 college credits. This opportunity is maximized by students spending their last two years of high school on Brooklyn College Campus where they enjoy an actual college experience.",,,2.0,,Standardized Test Scores: Average (2.5-4.5),,,,,,,,,,,,Spanish,,,,,,,,,,"B103, B16, B35, B67, B68, B69, BM3, BM4",,,,,,132.0,,,,,,Brooklyn College Academy,,,0.95,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from 9th to 12th grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",,-100% of offers went to this group
08X405,718-904-4200,,,,,,"Lehman High School offers an array of computer science (e.g. coding) and digital media courses (e.g. digital photography, film production/editing), as well as, AP and SUNY courses.",,,"Students have a choice of courses including traditional computer science (e.g. coding using Scratch, Python, AP) or digital media (digital photography, black and white photography, film production/editing, audio engineering). Students have the opportunity to earn certifications in Adobe Photoshop, Adobe Premiere and more.",,,2.0,,,,,Science & Math,,,,,,,"Eastside House community based organization, peer mediation, The Leadership Program, Explorers Club, Morningside Restorative Justice, college center",,"Italian, Spanish",,,,,,Math,,Course Grades: Average (68-100),,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,,X16Z,,,94.0,"AP Biology, AP Calculus AB, AP Calculus BC, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Spanish, AP U.S. Government and Politics, AP U.S. History",,,,,Computer Science/Information Technology Program,5,"Courses of study comprised of Honors and AP courses with an emphasis on intensive research, technology application and ethical considerations. Students have the opportunity to select elective tracts in computer science, digital media, music/music production and film production.",0.35,"Lehman High School offers the curricular diversity of a large comprehensive high school, but also offers the social and emotional support common to smaller schools. Students are offered choices throughout the curriculum, which allow them to specialize after 9th grade in a wide variety of subjects, including Computer Science, Information Technology, Arts & Music, and Law. Honors Students can join the Anne Hutchinson Program, which provides for accelerated and enriched coursework and opportunities for AP and Dual Enrollment classes. Students also have access to a full range of campus activities, including 29 PSAL Sports Teams.",,
02M519,212-737-1530,Open to New York City residents,,,,,"A four-year rigorous curriculum prepares students for college and career. Students take daily ballet, modern, improvisation, dance composition, pointe, and repertory. Dancers perform on the main stage all four years. Students study dance history, anatomy, injury prevention, body conditioning and yoga, and workshops with professional companies, including Martha Graham in 11th and 12th grades. Students complete internships with cultural organizations and graduate with an arts-endorsed diploma.",M42P,,"A four-year rigorous curriculum prepares students for college and career. Students take acting, vocal, and musical theater dance classes with specific focus on tuning their physical instruments in preparation for full productions as upperclassmen. Students study musical theatre history, ensemble-building, improvisation, and acting through song. In addition, the senior year includes specialized units in college audition readiness, industry exposure, and theater as a business.",,,2.0,,"Standardized Test Scores: English Language Arts (2.1-4.5), Math (1.9-4.5)",,,Performing Arts,,,,,,"A four-year rigorous curriculum prepares students for college and career. Students rehearse daily in large ensembles and have diverse performance opportunities throughout all four years. Students study music theory, history, and piano in 9th and 10th grades, and study solo repertory and chamber music in 11th and 12th grades. Students may complete internships with cultural organizations, perform in special events including NYSSMA adjudications, and graduate with an arts endorsement diploma.",Teachers: Five Academy for Teachers Fellows; 57% of full-time math and science faculty are Math for America Fellows.,,Spanish,,,,,,"Arts, Math, Science",,Course Grades: Average (69-100),,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,Y,M42L,,,22.0,"AP English Literature and Composition, AP Music Theory, AP U.S. History",,,,,Musical Theater,14,"A four-year rigorous curriculum prepares students for college and career. Students take daily solo voice and ensemble classes, studying repertoire in English, Italian, French, and German. Students perform on the main stage all four years, including a fully staged opera in 12th grade. Students study piano, musicianship/theory, and phonetics. Students may complete internships with cultural organizations, perform in events including NYSSMA adjudication, and graduate with an arts-endorsed diploma.",0.75,"We celebrate learning in the performing and liberal arts, challenging our students with a rigorous student-centered curriculum. Every student completes two course sequences all four years: the Performing Arts sequence prepare them for a conservatory or BFA program; the Liberal Arts sequence simultaneously prepares them for a traditional college or university. The balance of the two supports all students to become life-long artists. Our learning community is located one block from our CUNY partner Hunter College in the Upper East Side and is comprised of diverse families from all five boroughs in an inclusive, caring environment that fosters individuality and expression.",,
19K502,718-688-7930,,,,,,,,,The program will lead to EMT certifications and employment with the FDNY after graduation.,,,,,,,,,,,,,,,Students learn official procedures for becoming a NYC firefighter,,Spanish,,,,,,,,,,"B14, B15, B20, B83",,,,,,89.0,"AP English Language and Composition, AP Environmental Science, AP Statistics",,,,,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,,,0.32,"We work in collaboration with the New York City Fire Department to offer an exceptional education that introduces the benefits of the Fire and Emergency Medical Services (EMS). Upon passing the New York State EMS Certification Exam in the 12th grade, our students can roll into a full-time position with the FDNY. In addition to our career path, we also prepare our students for their college pursuits. Over the four-year program, our students have a chance to take five AP Courses to earn college credits upon their high school graduation. Our students study courses dealing with biology, life-saving skills, human anatomy, fire science, extinguishing agents and their chemical make-up, and official procedures for becoming a NYC firefighter.",,-16% of offers went to this group
08X530,718-860-1242,,,,,,,,,"Career and Technical Education classes (CTE) in Graphic Arts, Web Design and Multi-media. Freshman mentoring program, college trips and career exploration beginning in 9th grade.",,,,,,,,,,,,,,,"Cheerleading, Dance, Mentoring, Hip-Hop Therapy, buildOn, Drumming-Marching Band",,Spanish,,,,,,,,,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6, Bx6-SBS",,,,,,85.0,"AP English Language and Composition, AP Spanish",,,,,Longwood Preparatory Academy,,,0.29,"We are a community of visionary scholars with growth mindsets who are committed to changing the world. Our scholars are driven by the collaborative work of their peers and service learning opportunities. It is our core belief that when scholars possess a growth mindset, they will demonstrate determination and persistence. With our brand new recording studio, app development program, and technology and design classes, our scholars are prepared for careers and/or college. Teachers and administrators effectively collaborate to build college-level curriculum, strong relationships with their and scholars as well as structure learning opportunities inside and outside the classroom. Our motto is ""Learning is done best through a Growth Mindset.""",,-100% of offers went to this group
25Q425,718-263-1919,Open to New York City residents,,,,,"This program is a four year course of study designed for students interested in careers in law and social sciences. Students will follow a course sequence including courses in Introduction to Law, Criminal Justice, Criminology, Constitutional Law, Mock Trial, Moot Court, and Legal Research and Writing. Students will participate in activities such as Moot Court, Mock Trial, law internships, and college/university and law school visits.",Q14Z,,"This is a vibrant community of young artists and their teachers. This program offers talented writers and actors opportunities to explore their gifts through creative and academic writing courses, workshops, literary experiences, drama, and performance.",,,2.0,,,,,Animal Science,,,,,,This is our Liberal Arts program designed to provide students with opportunities in various programs such as our Visual Arts Sequence which offers students the opportunity to select the two dimensional or three dimensional design track. In addition students have the choice to join our AFJROTC program that offers courses in Aerospace Science and Leadership or be part of either our Bilingual Spanish or Chinese programs. Students are also provided a vast array of electives across disciplines.,"S.T.E.M. students participate in an Honors Academy with a focus in science and math with enrichment classes in research, engineering, and AP classes.",,"Italian, Latin, Mandarin, Spanish",,,,,,"CTE, Math, Science",,,,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q64, Q88, QM4, QM44",,Y,Q14D,,,83.0,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Macroeconomics, AP Seminar, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Academy for Creative Artists,4,"Plant and animal sciences, small animal care, veterinary technology, horticulture, and landscaping.",0.55,"All of our students graduate as literate, committed, inquisitive learners. We provide students with a challenging learning community that prepares them for college and careers. We seek to strengthen our community so that parents are involved in our academic vision. It is our goal to develop strategies which engage in rigorous academics, enhance relations, and improve communication among students of different backgrounds, foster positive attitudes towards school and learning, strengthen community feeling, and propel students into their future aspirations. Each student is motivated to meet the Common Core Learning Standards, to respect and appreciate individuals of different cultures, and to be a contributing citizen to their community.",,
02M489,212-346-0708,,,,,,,,,"College Preparatory coursework and in-depth coursework in Business, Entrepreneurship, Economics and Finance, AP and/or college credit bearing courses in all subject areas, curriculum partnerships with National Academy Foundation, NFTE, and Virtual Enterprise, Seminars by W!SE Institute with financial industry professionals providing seminars and internships, after-school extracurricular opportunities. Nearly 100% of our graduates attend college.",,,2.0,,,,,,,,,,,,W!SE Institute: Wednesday enrichment program with elective seminars,,Spanish,,,,,,,,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M55, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",,,,,,166.0,"AP Calculus AB, AP English Language and Composition, AP European History, AP U.S. History",,,,,Economics and Finance,,,0.82,"We offer a rigorous academic program for all students, including a four-year academic program in economics and finance with many Advanced Placement (AP) and CUNY College Now courses. Our diverse, welcoming community extends beyond our doors to corporate partners such as Citi Bank, Deutsche Bank, Etsy, and more. Students have opportunities to work with our private and public sector partners for job shadowing, internships and mentoring. Our full-time college advisement staff coordinates the college admissions process that helps our students earn millions of dollars in scholarships. All students find enrichment in various athletics, civic, artistic, and cultural programs and have access to our state-of-the-art library and technology center.",,
02M407,212-475-7972,,,,,,,,,"Humanities (History & Literature), Mathematics, Applied Sciences, Spanish, Arts & Electives.",,,2.0,,Individual Interview (on-site),,,,,,,,,,Neuroscience program; Collaboration with The City University of New York (CUNY) and New York University (NYU) Neuroscience Labs,,Spanish,,,,,,,,,,"BM1, BM2, BM3, BM4, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23-SBS, M3, M34-SBS, M34A-SBS, M8, M9, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,,,,45.0,,,,,,Institute for Collaborative Education,,,0.75,"The Institute for Collaborative Education (ICE) is founded on the principles of the Coalition of Essential Schools and is a member of the New York State Performance Standards Consortium. As a progressive school, our courses and units of study are inquiry-based and designed to develop students' critical thinking skills. Students engage in academically-challenging, performance-based assessment tasks (PBATs) that demonstrate their understanding of course material. ICE provides students advanced learning opportunities through our collaborations and partnerships with local universities, colleges, and community-based organizations.",1.0,-87% of offers went to this group
22K405,718-724-8500,Open to New York City residents,,,,,"Biology (gifted and AP), Chemistry (gifted and AP), Physics (AP Physics 1, 2, and AP Physics with Calculus), Calculus Track (Pre-Calculus, AP Calculus AB, and BC Calculus), Statistics, Medical Issues, Environmental Sciences (AP Environmental Science), AP Capstone Seminar and Research, Science Research Program, AP Computer Science, New York State approved CTE program (Robotics and Mechatronics), Python programming.",,,"Students in the LASI Honors Academy track take course work leading to an Advanced Regents diploma. Students in the College and Careers track are able to enroll in one of our CTE programs (Pre-Engineering, Law, and Media Arts). Our college support track provides the academic support for students so that they are CUNY college-ready by the time they graduate from high school.",,,,,,,,Humanities & Interdisciplinary,,,,,,,"Ranked as a top high school in New York City by the Washington Post, US News and World Report, the New York Post and the Daily News.",,"French, Spanish",,,,,,"CTE, Math, Science",,"Standardized Test Scores: English Language Arts (3.3-4.5), Math (3.2-4.5)",,"B103, B11, B41, B44, B44-SBS, B49, B6, B8, BM1, BM2, BM3, BM4, Q35",,Y,K26K,,,330.0,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Human Geography, AP Macroeconomics, AP Physics, AP Psychology, AP Research, AP Seminar, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Liberal Arts and Science Institute,33,"Creative Writing, African-American Literature, American Classics, America in Vietnam, Journalism, Social Science Research, Constitutional Law, Criminal Law, Criminology, Civil Law, Law Internship, AP Psychology, AP Human Geography, Sociology, AP Capstone Seminar and Research, French, Spanish, Urban History, History of Sports in America, Mock Trial, Scientific Non-Fiction",0.81,"Midwood High School celebrates a long tradition of academic excellence. Our school has been nationally ranked as one of the best schools in New York City by the New York Post, Newsweek and The Washington Post. Our school consists of three institutes. Placement in our Medical Science and Humanities Institutes is highly competitive and dependent upon strong academic performance. Our school currently offers 21 different Advanced Placement courses. The Liberal Arts & Science Institute serves students who reside in the geographical catchment area. These students are selected for one of three programs: LASI Honors Academy, College and Careers, or College Support. These programs provide students with rigorous college and career-based instruction.",,
